line,n,avg_fav_odds,avg_dog_odds,implied_p_fav_cover,actual_cover_rate,edge,n_cover
-3.0,36,2.046,1.799,0.4687,0.3333,-0.1354,12
-2.75,53,2.006,1.848,0.4804,0.4151,-0.0653,22
-2.5,100,2.091,1.769,0.4595,0.43,-0.0295,43
-2.25,146,2.185,1.726,0.4433,0.3904,-0.0529,57
-2.0,141,2.154,1.751,0.4501,0.4397,-0.0104,62
-1.75,271,2.137,1.761,0.4531,0.4945,0.0414,134
-1.5,456,2.171,1.74,0.4465,0.4298,-0.0167,196
-1.25,608,2.188,1.747,0.4463,0.3964,-0.0499,241
-1.0,479,2.142,1.798,0.4585,0.5511,0.0926,264
-0.75,1035,2.083,1.833,0.4694,0.514,0.0446,532
-0.5,1239,2.033,1.868,0.4802,0.4657,-0.0145,577
-0.25,1305,1.962,1.943,0.4987,0.4322,-0.0665,564
0.25,1047,2.214,1.758,0.4461,0.4021,-0.044,421
0.5,779,2.236,1.757,0.4461,0.457,0.0109,356
0.75,492,2.124,1.79,0.4594,0.5305,0.0711,261
1.0,228,2.143,1.777,0.4556,0.5439,0.0883,124
1.25,259,2.187,1.734,0.4444,0.3822,-0.0622,99
1.5,181,2.156,1.739,0.4478,0.453,0.0052,82
1.75,106,2.156,1.734,0.4468,0.4906,0.0438,52
2.0,53,2.224,1.701,0.4351,0.4717,0.0366,25
2.25,57,2.222,1.691,0.434,0.4386,0.0046,25
2.5,35,2.052,1.787,0.4664,0.5429,0.0765,19
