line,n,avg_over_odds,avg_under_odds,implied_p_over,actual_over_hit,edge,n_over
0.5,36,1.447,2.656,0.6438,1.0,0.3562,36
0.75,48,1.419,2.744,0.6549,1.0,0.3451,48
1.0,45,1.407,2.799,0.6601,0.9778,0.3177,44
1.25,181,1.475,2.575,0.6343,0.6243,-0.01,113
1.5,462,1.54,2.432,0.6109,0.6558,0.0449,303
1.75,904,1.572,2.394,0.6018,0.646,0.0442,584
2.0,1025,1.662,2.269,0.5756,0.5483,-0.0273,562
2.25,1999,1.797,2.079,0.5361,0.4587,-0.0774,917
2.5,2516,1.881,1.976,0.5124,0.4869,-0.0255,1225
2.75,2604,1.961,1.908,0.4936,0.5119,0.0183,1333
3.0,1774,2.072,1.82,0.469,0.4335,-0.0355,769
3.25,1982,2.129,1.76,0.4542,0.3764,-0.0778,746
3.5,1541,2.118,1.752,0.4538,0.4075,-0.0463,628
3.75,1037,2.122,1.743,0.4523,0.4609,0.0086,478
4.0,552,2.116,1.751,0.4548,0.4185,-0.0363,231
4.25,481,2.156,1.713,0.4443,0.3867,-0.0576,186
4.5,317,2.114,1.734,0.4523,0.4448,-0.0075,141
4.75,217,2.159,1.727,0.449,0.4885,0.0395,106
5.0,129,2.161,1.738,0.4519,0.4109,-0.041,53
5.25,115,2.114,1.748,0.4562,0.4348,-0.0214,50
5.5,95,2.288,1.663,0.4297,0.4,-0.0297,38
5.75,86,2.293,1.71,0.4384,0.4419,0.0035,38
6.0,51,2.213,1.805,0.4638,0.4902,0.0264,25
6.25,50,2.161,1.751,0.456,0.56,0.104,28
6.5,47,2.049,1.771,0.4664,0.617,0.1506,29
6.75,48,2.0,1.798,0.4755,0.6667,0.1912,32
7.25,34,2.046,1.74,0.4632,0.4412,-0.022,15
7.5,35,2.223,1.685,0.4412,0.4571,0.0159,16
7.75,35,2.231,1.695,0.4429,0.5429,0.1,19
